"FARM","TYPE","DBH_cm","basalA"
"UTUA2","Co",0.68,0.36316811075498
"UTUA2","Co",0.97,0.738981131940659
"UTUA2","Co",0.94,0.693977817177985
"UTUA2","Co",0.85,0.567450173054656
"UTUA2","Co",0.99,0.769768739945839
"UTUA2","Co",0.82,0.528101725068444
"UTUA2","Co",0.74,0.430084034276443
"UTUA2","Co",0.69,0.373928065593525
"UTUA2","Co",1.46,1.674154725098
"UTUA2","Co",1.42,1.58367685667461
"UTUA2","Co",1.74,2.37787147950211
"UTUA2","Co",1.63,2.08672438033068
"UTUA2","Co",1.79,2.51649425534176
"UTUA2","Co",1.78,2.48845554090848
"UTUA2","Citr",11.8,109.358840271461
"UTUA2","Citr",10.7,89.9202357273738
"UTUA2","Citr",8.3,54.1060794764502
"UTUA2","Citr",10.3,83.3228911548353
"UTUA2","Co",0.57,0.255175863287831
"UTUA2","Co",0.64,0.321699087727595
"UTUA2","Co",0.87,0.594467869875528
"UTUA2","Co",0.71,0.395919214168654
"UTUA2","Co",0.66,0.342119439975928
"UTUA2","Co",0.66,0.342119439975928
"UTUA2","Co",0.64,0.321699087727595
"UTUA2","Co",0.54,0.229022104446696
"UTUA2","Co",0.6,0.282743338823081
"UTUA2","Co",0.8,0.502654824574367
"UTUA2","Co",0.65,0.331830724035422
"UTUA2","Co",0.42,0.13854423602331
"UTUA2","Co",0.89,0.622113885227119
"UTUA2","Co",1.54,1.86265028431339
"UTUA2","Co",1.4,1.539380400259
"UTUA2","Co",1.47,1.69716689128555
"UTUA2","Co",2.02,3.20473866592695
"UTUA2","Co",4.17,13.6572101235019
"UTUA2","Co",0.7,0.38484510006475
"UTUA2","Co",0.71,0.395919214168654
"UTUA2","Co",0.52,0.21237166338267
"UTUA2","Co",0.67,0.352565235549115
"UTUA2","Co",0.55,0.237582944427728
"UTUA2","Co",0.65,0.331830724035422
"UTUA2","Co",0.42,0.13854423602331
"UTUA2","Co",0.4,0.125663706143592
"UTUA2","Co",0.65,0.331830724035422
"UTUA2","Co",1.82,2.60155287643771
"UTUA2","Co",0.55,0.237582944427728
"UTUA2","Co",0.45,0.159043128087983
"UTUA2","Co",0.63,0.311724531052447
"UTUA2","Co",0.64,0.321699087727595
"UTUA2","Co",0.57,0.255175863287831
"UTUA2","Co",1.48,1.72033613710577
"UTUA2","Co",2.43,4.63769761504559
"UTUA2","Co",3.76,11.1036450748478
"UTUA2","Co",2.41,4.56167107282872
"UTUA2","Co",3.07,7.40229915020461
"UTUA2","Co",4.01,12.6292810072473
"UTUA2","Co",3.2,8.04247719318987
"UTUA2","Co",3.01,7.11578590019722
"UTUA2","Co",0.7,0.38484510006475
"UTUA2","Co",0.83,0.541060794764502
"UTUA2","Co",0.79,0.490166993776348
"UTUA2","Citr",10.5,86.5901475145687
"UTUA2","Citr",9.5,70.8821842466197
"UTUA2","Citr",9.6,72.3822947387088
"UTUA2","Citr",7.8,47.7836242611007
"UTUA2","Citr",11.3,100.28749148422
"UTUA2","Citr",8,50.2654824574367
"UTUA2","Citr",17.2,232.352192659501
"UTUA2","Citr",10.5,86.5901475145687
"UTUA20","Co",3.31,8.60490081799878
"UTUA20","Co",1.52,1.81458391671346
"UTUA20","Ba",18.7,274.645883758454
"UTUA20","Ba",10.6,88.2473376393373
"UTUA20","Co",1.32,1.36847775990371
"UTUA20","Co",0.97,0.738981131940659
"UTUA20","Co",0.7,0.38484510006475
"UTUA20","Co",1.28,1.28679635091038
"UTUA20","Ba",6.5,33.1830724035422
"UTUA20","Ba",5.6,24.630086404144
"UTUA20","Co",1.5,1.76714586764426
"UTUA20","Ba",6,28.2743338823081
"UTUA20","Co",1.85,2.68802521422777
"UTUA20","Ba",6.8,36.316811075498
"UTUA20","Ba",16,201.061929829747
"UTUA20","Ba",12.5,122.718463030851
"UTUA20","Co",0.9,0.636172512351933
"UTUA20","Ba",5,19.6349540849362
"UTUA20","Ba",12.6,124.689812420979
"UTUA20","unk.",2.01,3.17308711994203
"UTUA20","unk.",1.53,1.83853856069709
"UTUA20","Ba",7,38.484510006475
"UTUA20","Ba",11.1,96.7689077121996
"UTUA20","Ba",8.8,60.8212337734984
"UTUA20","Co",3.83,11.5209271190608
"UTUA20","Co",2.56,5.14718540364152
"UTUA20","Co",1.3,1.32732289614169
"UTUA20","Co",1.11,0.967689077121996
"UTUA20","Ba",6.4,32.1699087727595
"UTUA20","Ba",8.3,54.1060794764502
"UTUA20","Co",1.31,1.34782178820636
"UTUA20","Co",1.81,2.57304292310638
"UTUA20","Ba",15,176.714586764426
"UTUA20","Ba",11.5,103.868907109313
"UTUA20","Ba",11,95.0331777710912
"UTUA20","Ba",8,50.2654824574367
"UTUA20","Ba",12.9,130.698108370969
"UTUA20","Ba",5.2,21.237166338267
"UTUA20","Ba",7.8,47.7836242611007
"UTUA20","Co",1.88,2.77591126871194
"UTUA20","Co",1.52,1.81458391671346
"UTUA20","Co",1.66,2.16424317905801
"UTUA20","Co",1.97,3.04805173232916
"UTUA20","Co",1.35,1.43138815279185
"UTUA20","Co",1.62,2.06119894002026
"UTUA20","Co",1.78,2.48845554090848
"UTUA20","Co",1.15,1.03868907109313
"UTUA20","Co",1.85,2.68802521422777
"UTUA20","Co",0.91,0.650388219109427
"UTUA20","Co",0.91,0.650388219109427
"UTUA20","Tree-Center",38.5,1164.15642769587
"UTUA20","Co",1.49,1.74366246255867
"UTUA20","Co",1.27,1.26676869774374
"UTUA20","Ba",7.6,45.3645979178366
"UTUA20","Ba",10.1,80.1184666481737
"UTUA20","Co",2.01,3.17308711994203
"UTUA20","Co",0.89,0.622113885227119
"UTUA20","Co",1.19,1.11220233918713
"UTUA20","Co",1.61,2.03583057934253
"UTUA20","Co",1.13,1.0028749148422
"UTUA20","Co",1.18,1.09358840271461
"UTUA20","Co",1.23,1.188228881404
"UTUA20","Co",0.73,0.4185386812745
"UTUA20","Co",0.98,0.75429639612691
"UTUA20","Co",0.6,0.282743338823081
"UTUA20","Co",1.59,1.98556509688509
"UTUA20","Co",1.21,1.1499014510302
"UTUA20","Co",2.12,3.52989350557349
"UTUA20","Co",1.27,1.26676869774374
"UTUA20","Co",0.75,0.441786466911065
"UTUA20","Co",1.2,1.13097335529233
"UTUA20","Co",0.71,0.395919214168654
"UTUA20","Co",0.86,0.580880481648753
"UTUA20","Ba",5.8,26.4207942166902
"UTUA20","Ba",9.1,65.0388219109427
"UTUA20","Ba",7.2,40.7150407905237
"UTUA20","Ba",16,201.061929829747
"UTUA20","Co",2.13,3.56327292751788
"UTUA20","Co",1.44,1.62860163162095
"UTUA20","Ba",8.1,51.5299735005066
"UTUA20","Ba",6.8,36.316811075498
"UTUA20","Ba",8.5,56.7450173054656
"UTUA20","Ba",17.5,240.528187540469
"UTUA20","Ba",10.1,80.1184666481737
"UTUA20","Ba",10.6,88.2473376393373
"UTUA20","Co",0.72,0.407150407905237
"UTUA20","Co",1.1,0.950331777710913
"UTUA20","Ba",9.3,67.9290871522453
"UTUA20","Ba",8,50.2654824574367
"UTUA20","Ba",9.7,73.8981131940659
"UTUA30","Co",0.98,0.75429639612691
"UTUA30","Co",0.73,0.4185386812745
"UTUA30","Co",1.15,1.03868907109313
"UTUA30","Co",1.01,0.801184666481737
"UTUA30","Co",1.39,1.51746779150021
"UTUA30","Co",0.99,0.769768739945839
"UTUA30","Co",0.98,0.75429639612691
"UTUA30","Co",0.88,0.608212337734984
"UTUA30","Co",1.61,2.03583057934253
"UTUA30","Co",1.35,1.43138815279185
"UTUA30","Co",1.06,0.882473376393373
"UTUA30","Co",0.79,0.490166993776348
"UTUA30","Co",1.75,2.40528187540469
"UTUA30","Ba",8.5,56.7450173054656
"UTUA30","Ba",6.5,33.1830724035422
"UTUA30","Ba",14,153.9380400259
"UTUA30","Co",1.62,2.06119894002026
"UTUA30","Co",0.69,0.373928065593525
"UTUA30","Co",2.22,3.87075630848798
"UTUA30","Co",2.25,3.97607820219958
"UTUA30","Co",1.08,0.916088417786784
"UTUA30","Co",1.21,1.1499014510302
"UTUA30","Co",1.93,2.92552961883916
"UTUA30","Co",1.67,2.19039693789914
"UTUA30","Co",0.9,0.636172512351933
"UTUA30","Co",1.08,0.916088417786784
"UTUA30","Ba",8.7,59.4467869875528
"UTUA30","Co",2.1,3.46360590058275
"UTUA30","Co",1.26,1.24689812420979
"UTUA30","Co",1.24,1.20762821603992
"UTUA30","Co",1.3,1.32732289614169
"UTUA30","Co",1.44,1.62860163162095
"UTUA30","Co",1.67,2.19039693789914
"UTUA30","Co",1.15,1.03868907109313
"UTUA30","Co",1.36,1.45267244301992
"UTUA30","Co",1.19,1.11220233918713
"UTUA30","Co",2.01,3.17308711994203
"UTUA30","Co",2.83,6.29017535083382
"UTUA30","Co",2.37,4.41150294398713
"UTUA30","Co",1.8,2.54469004940773
"UTUA30","Co",1.96,3.01718558450764
"UTUA30","Co",1.61,2.03583057934253
"UTUA30","Co",1.21,1.1499014510302
"UTUA30","Co",1.78,2.48845554090848
"UTUA30","Co",0.76,0.453645979178366
"UTUA30","Co",1.38,1.4957122623741
"UTUA30","Co",1.05,0.865901475145687
"UTUA16","Shrub",0.94,0.693977817177985
"UTUA16","Shrub",0.61,0.29224665660019
"UTUA16","Shrub",0.3,0.0706858347057703
"UTUA16","Ba",9.2,66.47610054996
"UTUA16","Ba",7.9,49.0166993776348
"UTUA16","Ba",11.3,100.28749148422
"UTUA16","Ba",7.9,49.0166993776348
"UTUA16","Ba",9.2,66.47610054996
"UTUA16","Ba",7,38.484510006475
"UTUA16","Co",1.69,2.24317569447945
"UTUA16","Co",1.17,1.07513154587477
"UTUA16","Co",1.6,2.01061929829747
"UTUA16","Co",0.69,0.373928065593525
"UTUA16","Co",2.35,4.33736135736241
"UTUA16","Co",1.56,1.91134497044403
"UTUA16","Co",0.97,0.738981131940659
"UTUA16","Ba",7.5,44.1786466911065
"UTUA16","tree",10.8,91.6088417786784
"UTUA16","Ba",10.9,93.3131557932508
"UTUA16","Ba",12.6,124.689812420979
"UTUA16","Co",2.38,4.44880935674851
"UTUA16","Co",0.83,0.541060794764502
"UTUA16","Co",1.5,1.76714586764426
"UTUA16","Co",0.38,0.113411494794592
"UTUA16","Co",2.21,3.83596316984948
"UTUA16","Co",2.34,4.30052618349907
"UTUA16","Co",2.43,4.63769761504559
"UTUA16","Co",2.01,3.17308711994203
"UTUA16","tree",6.2,30.1907054009979
"UTUA16","Co",1.47,1.69716689128555
"UTUA16","Co",1.75,2.40528187540469
"UTUA16","Co",0.92,0.6647610054996
"UTUA16","Co",1.01,0.801184666481737
"UTUA16","Co",1.8,2.54469004940773
"UTUA16","Co",1.36,1.45267244301992
"UTUA16","Co",1.95,2.9864765163188
"UTUA16","Co",0.87,0.594467869875528
"UTUA16","Co",1.76,2.43284935093994
"UTUA16","Co",1.64,2.11240690027378
"UTUA16","Co",1.49,1.74366246255867
"UTUA16","Co",1.73,2.35061816323222
"UTUA16","Co",0.55,0.237582944427728
"UTUA16","Co",1.78,2.48845554090848
"UTUA16","Co",1.79,2.51649425534176
"UTUA16","Co",2.97,6.92791865951255
"UTUA16","Co",1.35,1.43138815279185
"UTUA16","tree",6.2,30.1907054009979
"UTUA16","tree",4.9,18.8574099031727
"UTUA16","Co",0.72,0.407150407905237
"UTUA16","Co",2.04,3.26851299679482
"UTUA16","Co",0.88,0.608212337734984
"UTUA16","Co",2.62,5.39128715282544
"UTUA16","Co",1.7,2.26980069221863
"UTUA16","Co",1.42,1.58367685667461
"UTUA16","Co",2.01,3.17308711994203
"UTUA16","Co",2.4,4.5238934211693
"UTUA16","Ba",6.3,31.1724531052447
"UTUA16","Ba",6.3,31.1724531052447
"UTUA16","Ba",6.3,31.1724531052447
"UTUA16","Ba",9,63.6172512351933
"UTUA16","shrub",1.5,1.76714586764426
"UTUA16","shrub",1.2,1.13097335529233
"UTUA16","Co",1.74,2.37787147950211
"UTUA16","Co",2.01,3.17308711994203
"UTUA16","Co",1.38,1.4957122623741
"UTUA16","Ba",10.4,84.948665353068
"ADJUCP","Co",2.16,3.66435367114713
"ADJUCP","Co",2.2,3.80132711084365
"ADJUCP","Co",0.83,0.541060794764502
"ADJUCP","Co",1.08,0.916088417786784
"ADJUCP","Co",1.5,1.76714586764426
"ADJUCP","Co",1.6,2.01061929829747
"ADJUCP","Co",1.8,2.54469004940773
"ADJUCP","Co",1.28,1.28679635091038
"ADJUCP","Co",1.1,0.950331777710913
"ADJUCP","Co",1.29,1.30698108370969
"ADJUCP","Co",0.82,0.528101725068444
"ADJUCP","Co",1.16,1.05683176866761
"ADJUCP","Co",1.6,2.01061929829747
"ADJUCP","Co",1.19,1.11220233918713
"ADJUCP","Co",1.55,1.88691908756237
"ADJUCP","Co",1.41,1.56145008865047
"ADJUCP","Co",1.29,1.30698108370969
"ADJUCP","Co",0.91,0.650388219109427
"ADJUCP","tree",1.9,2.83528736986479
"ADJUCP","Co",0.87,0.594467869875528
"ADJUCP","tree",5.1,20.4282062299676
"ADJUCP","Co",1.13,1.0028749148422
"ADJUCP","Co",1.38,1.4957122623741
"ADJUCP","tree",22.1,383.596316984948
"ADJUCP","Co",1.82,2.60155287643771
"ADJUCP","Co",2.72,5.81068977207968
"ADJUCP","Co",2.64,5.47391103961485
"ADJUCP","Co",2.36,4.37435361085843
"ADJUCP","Co",1.76,2.43284935093994
"ADJUCP","Co",1.24,1.20762821603992
"ADJUCP","Co",1.38,1.4957122623741
"ADJUCP","Co",1.28,1.28679635091038
"ADJUCP","Co",1.61,2.03583057934253
"ADJUCP","Co",2.24,3.94081382466304
"ADJUCP","Co",1.14,1.02070345315132
"ADJUCP","Co",1.14,1.02070345315132
"ADJUCP","Co",1.13,1.0028749148422
"ADJUCP","Co",1.29,1.30698108370969
"ADJUCP","Co",1.57,1.93592793295837
"ADJUCP","Co",0.63,0.311724531052447
"ADJUCP","Co",0.51,0.204282062299676
"ADJUCP","tree",6.3,31.1724531052447
"ADJUCP","Co",1.2,1.13097335529233
"ADJUCP","Co",1.31,1.34782178820636
"ADJUCP","Co",0.83,0.541060794764502
"ADJUCP","Co",0.36,0.101787601976309
"ADJUCP","Co",1.04,0.84948665353068
"ADJUCP","Co",1.61,2.03583057934253
"ADJUCP","Co",0.72,0.407150407905237
"YAUC3","Co",1.82,2.60155287643771
"YAUC3","Co",1.12,0.985203456165759
"YAUC3","Co",1.68,2.21670777637296
"YAUC3","Co",1.95,2.9864765163188
"YAUC3","Co",0.87,0.594467869875528
"YAUC3","Co",0.64,0.321699087727595
"YAUC3","Co",0.91,0.650388219109427
"YAUC3","Co",0.86,0.580880481648753
"YAUC3","tree",49.2,1901.1662102464
"YAUC3","Co",0.44,0.152053084433746
"YAUC3","Co",0.81,0.515299735005066
"YAUC3","Co",1.94,2.95592452776264
"YAUC3","Co",1.43,1.60606070433144
"YAUC3","Co",1.72,2.32352192659501
"YAUC3","Co",2.12,3.52989350557349
"YAUC3","Co",0.93,0.679290871522453
"YAUC3","Co",1,0.785398163397448
"YAUC3","Co",1.05,0.865901475145687
"YAUC3","Co",1.71,2.29658276959048
"YAUC3","Co",1.34,1.41026094219646
"YAUC3","Co",1.43,1.60606070433144
"YAUC3","Co",0.44,0.152053084433746
"YAUC3","Co",0.66,0.342119439975928
"YAUC3","Co",0.8,0.502654824574367
"YAUC3","Co",1.24,1.20762821603992
"YAUC3","Co",1.63,2.08672438033068
"YAUC3","Co",1.42,1.58367685667461
"YAUC3","Co",1.28,1.28679635091038
"YAUC3","Co",0.85,0.567450173054656
"YAUC3","Co",1.1,0.950331777710913
"YAUC3","Co",1.11,0.967689077121996
"YAUC3","Co",1.38,1.4957122623741
"YAUC3","Co",0.73,0.4185386812745
"YAUC3","Co",0.73,0.4185386812745
"YAUC3","Co",0.5,0.196349540849362
"YAUC3","Co",0.6,0.282743338823081
"YAUC3","Co",0.4,0.125663706143592
"YAUC3","Ba",8.2,52.8101725068444
"YAUC3","Ba",5.9,27.3397100678652
"YAUC3","Ba",6,28.2743338823081
"YAUC3","Ba",7.4,43.0084034276443
"YAUC3","Ba",8.5,56.7450173054656
"YAUC3","Ba",3.7,10.7521008569111
"YAUC3","Ba",4.2,13.854423602331
"YAUC3","Ba",3.2,8.04247719318987
"YAUC3","Ba",7.3,41.85386812745
"YAUC3","Ba",11.7,107.513154587477
"YAUC3","Ba",6.4,32.1699087727595
"YAUC3","Ba",16.4,211.240690027378
"UTUA18","Co",4.44,15.4830252339519
"UTUA18","Co",3.01,7.11578590019722
"UTUA18","Co",3.62,10.2921716924255
"UTUA18","Co",4.11,13.267024315926
"UTUA18","Co",4.17,13.6572101235019
"UTUA18","Co",3.18,7.94226038754036
"UTUA18","Co",4.07,13.0100420368624
"UTUA18","Co",4.62,16.7638525588205
"UTUA18","Co",3.15,7.79311327631118
"UTUA18","Co",3.85,11.6415642769587
"UTUA18","Co",3.42,9.18633107836192
"UTUA18","Co",2.16,3.66435367114713
"UTUA18","Co",2.47,4.79163565507149
"UTUA18","Co",3.8,11.3411494794592
"UTUA18","Co",2.72,5.81068977207968
"UTUA18","Co",3.11,7.59644957619646
"UTUA18","Co",3.83,11.5209271190608
"UTUA18","Co",3.3,8.55298599939821
"UTUA18","Co",1.24,1.20762821603992
"UTUA18","Co",1.82,2.60155287643771
"UTUA18","Co",4.09,13.1382190171289
"UTUA18","Co",2.12,3.52989350557349
"UTUA18","Co",3.73,10.9271661075324
"UTUA18","Co",3.61,10.2353874052119
"UTUA18","Co",1.42,1.58367685667461
"UTUA18","Co",3.86,11.7021184753566
"UTUA18","Co",2.74,5.89645525152268
"UTUA18","Co",3.94,12.1922069293166
"UTUA18","Co",3.79,11.2815377588573
"UTUA18","Co",3.63,10.3491130592718
"UTUA18","Co",2.63,5.43252055640381
"UTUA18","Co",2.24,3.94081382466304
"UTUA18","Co",2.41,4.56167107282872
"UTUA18","Co",1.91,2.86521103989023
"UTUA18","Co",1.32,1.36847775990371
"UTUA18","Co",1.81,2.57304292310638
"UTUA18","Co",3.09,7.49906020393518
"UTUA18","Co",3.48,9.51148591800846
"UTUA18","Co",3.39,9.02587423357981
"UTUA18","Co",1.27,1.26676869774374
"UTUA18","Co",1.67,2.19039693789914
"UTUA18","Co",1.27,1.26676869774374
"UTUA18","tree(inga?)",4.1,13.2025431267111
"UTUA18","Ba",8.3,54.1060794764502
"UTUA18","Ba",9.8,75.429639612691
"UTUA18","Co",1.61,2.03583057934253
"UTUA18","Co",1.28,1.28679635091038
"UTUA18","Co",2.23,3.90570652675917
"UTUA18","Co",1.03,0.833228911548353
"UTUA18","Co",1.04,0.84948665353068
"UTUA18","Co",0.65,0.331830724035422
"UTUA18","Co",2.94,6.78866756514218
"UTUA18","Co",2.17,3.69836141162224
"UTUA18","Co",1.73,2.35061816323222
"UTUA18","Co",2.14,3.59680942909495
"UTUA18","Co",1.15,1.03868907109313
"UTUA18","Co",0.53,0.220618344098343
"UTUA18","Co",1.34,1.41026094219646
"UTUA18","Co",1.85,2.68802521422777
"UTUA18","Co",1.88,2.77591126871194
"UTUA18","Co",1.93,2.92552961883916
"UTUA18","Co",2.59,5.26852941988642
"UTUA18","Co",2.04,3.26851299679482
"UTUA18","Co",1.17,1.07513154587477
"UTUA18","Co",3.71,10.8102988608188
"UTUA18","Co",3.43,9.24013085255464
"UTUA18","Co",1.24,1.20762821603992
"UTUA18","Co",3.26,8.34689752132272
"UTUA18","Co",2.45,4.71435247579318
"UTUA18","Co",1.49,1.74366246255867
"UTUA18","Co",1.11,0.967689077121996
"UTUA18","tree",2.4,4.5238934211693
"UTUA18","tree",4.6,16.61902513749
"UTUA18","tree",2.4,4.5238934211693
"UTUA18","tree",4,12.5663706143592
"UTUA18","tree",5.2,21.237166338267
"UTUA18","tree",2.2,3.80132711084365
"UTUA18","tree",1.5,1.76714586764426
"UTUA18","tree",2.1,3.46360590058275
"UTUA18","Co",3.6,10.1787601976309
"UTUA18","Co",2.81,6.20158243800259
"UTUA18","Co",2.12,3.52989350557349
"UTUA18","Co",1.48,1.72033613710577
"UTUA18","Co",2.66,5.55716324493499
"UTUA18","Co",3.27,8.39818402139258
"UTUA18","Co",4.49,15.8337055139089
"UTUA18","Co",1.48,1.72033613710577
"UTUA18","Co",1.59,1.98556509688509
"UTUA18","Co",1.19,1.11220233918713
"UTUA18","Co",3.43,9.24013085255464
"UTUA18","Co",2.88,6.5144065264838
"UTUA18","Co",2.52,4.98759249683916
"UTUA18","Co",0.92,0.6647610054996
"UTUA18","Co",1.44,1.62860163162095
"UTUA18","Co",0.97,0.738981131940659
"UTUA18","Co",1.91,2.86521103989023
"UTUA18","Co",1.41,1.56145008865047
"UTUA18","Co",2.02,3.20473866592695
"UTUA18","Co",1.75,2.40528187540469
"UTUA18","Co",0.85,0.567450173054656
"UTUA18","Co",1.51,1.79078635236252
"UTUA18","Co",0.62,0.301907054009979
"UTUA18","Co",1.36,1.45267244301992
"UTUA18","Co",3.65,10.4634670318625
"UTUA18","Co",1.11,0.967689077121996
"UTUA18","Co",1.5,1.76714586764426
"UTUA18","Co",2.34,4.30052618349907
"UTUA18","Co",3.49,9.56622816999726
"UTUA18","Co",3.08,7.45060113725355
"UTUA18","Co",1.26,1.24689812420979
"UTUA18","Co",3.04,7.25833566685386
"UTUA18","Co",1.65,2.13824649984955
"UTUA18","Co",1.8,2.54469004940773
"UTUA18","Co",2.94,6.78866756514218
"UTUA18","Co",1.87,2.74645883758454
"UTUA18","Co",1.63,2.08672438033068
"UTUA18","Co",1.97,3.04805173232916
"UTUA18","Co",2.44,4.67594650560305
"UTUA18","Co",1.5,1.76714586764426
"UTUA18","Co",2.58,5.22792433483878
"UTUA18","Co",2.15,3.6305030103047
"UTUA18","Co",0.78,0.477836242611008
"UTUA18","Co",2.61,5.35021082887976
"UTUA18","Co",1.21,1.1499014510302
"UTUA18","Co",2.49,4.86954715288052
"UTUA18","Co",1.65,2.13824649984955
"UTUA18","Co",1.28,1.28679635091038
"UTUA18","Co",2.78,6.06987116600084
"UTUA18","Co",3.25,8.29576810088555
"UTUA18","Co",2.59,5.26852941988642
"UTUA18","Co",1.32,1.36847775990371
"UTUA18","Co",3.43,9.24013085255464
"UTUA18","Co",2.77,6.02628156793228
"UTUA18","Co",2.92,6.696618900392
"UTUA18","Co",2.06,3.33291564619341
"UTUA18","Co",2.36,4.37435361085843
"UTUA18","Co",3.14,7.74371173183348
"UTUA18","Co",3.45,9.34820163983813
"UTUA18","Co",0.73,0.4185386812745
"UTUA18","Co",3.89,11.8847235483465
"UTUA18","Co",2.81,6.20158243800259
"UTUA18","Co",2.56,5.14718540364152
"UTUA18","Co",2.54,5.06707479097498
"UTUA18","Co",1.12,0.985203456165759
"UTUA18","Co",2.81,6.20158243800259
"UTUA18","Co",3.03,7.21066199833563
"UTUA18","Co",1.36,1.45267244301992
"UTUA18","Co",1.82,2.60155287643771
"UTUA18","Co",1.58,1.96066797510539
"UTUA18","Co",3.04,7.25833566685386
"UTUA18","Co",1.06,0.882473376393373
"UTUA18","Co",2.41,4.56167107282872
"UTUA18","Co",0.87,0.594467869875528
"UTUA18","Co",0.57,0.255175863287831
"UTUA18","Co",0.64,0.321699087727595
"UTUA18","Co",1.24,1.20762821603992
"UTUA18","Co",4.05,12.8824933751266
"UTUA18","Co",1.72,2.32352192659501
"UTUA18","Co",1.35,1.43138815279185
"UTUA18","Co",1.17,1.07513154587477
"UTUA18","Co",1.7,2.26980069221863
"UTUA18","Co",2.72,5.81068977207968
"UTUA18","Co",1.04,0.84948665353068
"UTUA18","Co",2.41,4.56167107282872
"UTUA18","Co",3.83,11.5209271190608
"UTUA18","Co",1.06,0.882473376393373
"UTUA18","Co",1.03,0.833228911548353
"UTUA18","Co",0.97,0.738981131940659
"UTUA18","Co",1.17,1.07513154587477
"UTUA18","Co",2.43,4.63769761504559
"UTUA18","Co",3.99,12.5036173011037
"UTUA18","Co",1.16,1.05683176866761
"UTUA18","Co",2.16,3.66435367114713
"UTUA18","Co",6.16,29.8024045490142
"UTUA18","Co",4.94,19.166542620286
"UTUA18","Co",2.27,4.04707819617071
"UTUA18","Co",2.47,4.79163565507149
"UTUA18","Co",1.43,1.60606070433144
"UTUA18","Co",2.07,3.36535259034173
"UTUA18","Co",3.72,10.8686539443593
"UTUA18","Co",2.81,6.20158243800259
"UTUA18","Co",3.51,9.6761839128729
"JAYU2","Co",2.08,3.39794661412272
"JAYU2","Co",0.78,0.477836242611008
"JAYU2","Co",0.96,0.723822947387088
"JAYU2","Co",0.42,0.13854423602331
"JAYU2","Co",2.53,5.02725510409073
"JAYU2","Co",0.95,0.708821842466197
"JAYU2","Co",2.28,4.0828138126053
"JAYU2","Co",1.26,1.24689812420979
"JAYU2","Co",2.33,4.26384808926841
"JAYU2","Co",1.13,1.0028749148422
"JAYU2","Co",1.32,1.36847775990371
"JAYU2","Co",1.16,1.05683176866761
"JAYU2","Co",1.1,0.950331777710913
